Category,Priority,ResearchQuestion,Keyword,ConceptTitle,Topic,KnowledgeSummary,ResearchHint
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,vix,Volatility index,Markets,"VIX is the ticker symbol and popular name for the Chicago Board Options Exchange's CBOE Volatility Index, a popular measure of the stock market's expectation of volatility based on S&P 500 index options. It is calculated and disseminated on a real-time basis by the CBOE, and is often referred to as ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,risk,Loss aversion,Psychology,"In cognitive science and behavioral economics, loss aversion is a cognitive bias in which the same situation is perceived as worse if it is framed as a loss, rather than a gain. It should not be confused with risk aversion, which describes the rational behavior of valuing an uncertain outcome at les","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,risk,Risk management,Markets,"Risk management is the identification, evaluation, and prioritization of risks, followed by the minimization, monitoring, and control of the impact or probability of those risks occurring. Risks can come from various sources (i.e, threats) including uncertainty in international markets, political in","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,risk,Financial risk,Economics,"Financial risk is any of various types of risk associated with financing, including financial transactions that include company loans in risk of default. Often it is understood to include only downside risk, meaning the potential for financial loss and uncertainty about its extent.
Modern portfolio ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,uncertainty,Panic,Psychology,"Panic is a sudden sensation of fear, which is so strong as to dominate or prevent reason and logical thinking, replacing it with overwhelming feelings of anxiety, uncertainty and frantic agitation consistent with a fight-or-flight reaction. Panic may occur singularly in individuals or manifest sudde","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,uncertainty,Risk management,Markets,"Risk management is the identification, evaluation, and prioritization of risks, followed by the minimization, monitoring, and control of the impact or probability of those risks occurring. Risks can come from various sources (i.e, threats) including uncertainty in international markets, political in","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,uncertainty,Financial risk,Economics,"Financial risk is any of various types of risk associated with financing, including financial transactions that include company loans in risk of default. Often it is understood to include only downside risk, meaning the potential for financial loss and uncertainty about its extent.
Modern portfolio ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Sector Research,HIGH,Is VOLATILITY strength persistent or only a one-day spike?,panic,Panic,Psychology,"Panic is a sudden sensation of fear, which is so strong as to dominate or prevent reason and logical thinking, replacing it with overwhelming feelings of anxiety, uncertainty and frantic agitation consistent with a fight-or-flight reaction. Panic may occur singularly in individuals or manifest sudde","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,bull market,Bull market,Markets,"A market trend is a perceived tendency of the financial markets to move in a particular direction over time. Analysts classify these trends as secular for long time-frames, primary for medium time-frames, and secondary for short time-frames. Traders attempt to identify market trends using technical ",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,bear market,Bear market,Markets,"A market trend is a perceived tendency of the financial markets to move in a particular direction over time. Analysts classify these trends as secular for long time-frames, primary for medium time-frames, and secondary for short time-frames. Traders attempt to identify market trends using technical ",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,financial crisis,Recession,Economics,"In economics, a recession is a business cycle contraction that occurs when there is a period of broad decline in economic activity. Recessions generally occur when there is a widespread drop in spending (an adverse demand shock). This may be triggered by various events, such as a financial crisis, a",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,financial crisis,Quantitative easing,Economics,"Quantitative easing (QE) is a monetary policy action where a central bank purchases predetermined amounts of government bonds, company shares, or other financial assets (liquidity) in order to artificially stimulate economic activity. Quantitative easing is a novel form of monetary policy that began",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,financial crisis,2008 financial crisis,History,"A major worldwide financial crisis centered in the United States took place in 2008.  The causes included excessive speculation on property values by both homeowners and financial institutions, leading to the 2000s United States housing bubble. This was exacerbated by predatory lending for subprime ",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,confidence interval,Confidence interval,Science,"According to frequentist inference, a confidence interval (CI) is a range of values which is likely to contain (in repeated sampling) the true value of an unknown statistical parameter, such as a population mean. Rather than reporting a single point estimate (e.g. ""the average screen time is 3 hours",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,sample size determination,Sample size determination,Science,"Sample size determination or estimation is the act of choosing the number of observations or replicates to include in a statistical sample. The sample size is an important feature of any empirical study in which the goal is to make inferences about a population from a sample. In practice, the sample",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,statistical significance,Statistical significance,Science,"In statistical hypothesis testing, a result has statistical significance when a result at least as ""extreme"" would be very infrequent if the null hypothesis were true. More precisely, a study's defined significance level, denoted by 
  
    
      
        α
      
    
    {\displaystyle \alpha }
 ",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,statistical significance,P-value,Science,"In null-hypothesis significance testing, the p-value is the probability of obtaining test results at least as extreme as the result actually observed, under the assumption that the null hypothesis is correct. A very small p-value means that such an extreme observed outcome would be very unlikely und",Require minimum sample size before trusting confidence results.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,statistical significance,Data snooping,Markets,"Data dredging, also known as data snooping or p-hacking, is the misuse of data analysis to find patterns in data that can be presented as statistically significant, thus dramatically increasing and understating the risk of false positives. This is done by performing many statistical tests on the dat",Require minimum sample size before trusting confidence results.
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,bull market,Bull market,Markets,"A market trend is a perceived tendency of the financial markets to move in a particular direction over time. Analysts classify these trends as secular for long time-frames, primary for medium time-frames, and secondary for short time-frames. Traders attempt to identify market trends using technical ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,bear market,Bear market,Markets,"A market trend is a perceived tendency of the financial markets to move in a particular direction over time. Analysts classify these trends as secular for long time-frames, primary for medium time-frames, and secondary for short time-frames. Traders attempt to identify market trends using technical ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,financial crisis,Recession,Economics,"In economics, a recession is a business cycle contraction that occurs when there is a period of broad decline in economic activity. Recessions generally occur when there is a widespread drop in spending (an adverse demand shock). This may be triggered by various events, such as a financial crisis, a","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,financial crisis,Quantitative easing,Economics,"Quantitative easing (QE) is a monetary policy action where a central bank purchases predetermined amounts of government bonds, company shares, or other financial assets (liquidity) in order to artificially stimulate economic activity. Quantitative easing is a novel form of monetary policy that began","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,financial crisis,2008 financial crisis,History,"A major worldwide financial crisis centered in the United States took place in 2008.  The causes included excessive speculation on property values by both homeowners and financial institutions, leading to the 2000s United States housing bubble. This was exacerbated by predatory lending for subprime ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,technical analysis,MACD,Markets,"The Moving Average Convergence Divergence (MACD) is a trading indicator used in technical analysis of securities prices, created by Gerald Appel in the late 1970s. It is designed to reveal changes in the strength, direction, momentum, and duration of a trend in a stock's price.
The MACD indicator (o","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,technical analysis,Technical analysis,Markets,"In finance, technical analysis is an analysis methodology for analysing and forecasting the direction of prices through the study of past market data, primarily price and volume. As a type of active management, it stands in contradiction to much of modern portfolio theory. The efficacy of technical ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,technical analysis,Fundamental analysis,Markets,"Fundamental analysis, in accounting and finance, is the analysis of a business's financial statements (usually to analyze the business's assets, liabilities, and earnings); health; competitors and markets. It also considers the overall state of the economy and factors including interest rates, produ","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,momentum investing,Momentum investing,Markets,"Momentum investing is a system of buying stocks or other securities that have had high returns over the past three-to-twelve months, and selling those that have had poor returns over the same period.
While momentum investing is well-established as a phenomenon no consensus exists about the explanati","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Market Regime,MEDIUM,Do signals work differently during TENSE_BULL market state?,backtesting,Backtesting,Markets,"Backtesting is a term used in modeling to refer to testing a predictive model on historical data.  Backtesting is a type of retrodiction, and a special type of cross-validation applied to previous time period(s).  In quantitative finance, backtesting is an important step before deploying algorithmic","Study this pattern separately during calm VIX, elevated VIX, and high VIX periods."
Data Quality,HIGH,Which files are causing unreliable research results?,,,,,Not enough knowledge context found. Add more concepts to the knowledge database.
